forecast_type,kpi_id,kpi_name,module_id,module_name,date,year,quarter,month,month_name,week_of_year,actual_value,target_value,result_status,group_by_field,group_by_value
global,1,Number of Major Incidents by State,1,Incident,2014-03-01,2014,1,3,,9,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2015-08-01,2015,3,8,,31,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2015-11-01,2015,4,11,,44,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2016-08-01,2016,3,8,,31,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2016-12-01,2016,4,12,,48,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2018-08-01,2018,3,8,,31,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2018-09-01,2018,3,9,,35,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2018-10-01,2018,4,10,,40,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2019-07-01,2019,3,7,,27,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2020-06-01,2020,2,6,,23,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2021-01-01,2021,1,1,,53,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2024-07-01,2024,3,7,,27,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2024-08-01,2024,3,8,,31,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2025-12-01,2025,4,12,,49,3.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2026-01-01,2026,1,1,,1,0.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2026-03-01,2026,1,3,,9,1.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2026-05-06,2026,2,5,,19,4.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2026-05-07,2026,2,5,,19,4.0,5.0,off_target,,
global,1,Number of Major Incidents by State,1,Incident,2026-05-08,2026,2,5,,19,4.0,5.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-03-01,2018,1,3,,9,2.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-04-01,2018,2,4,,13,3.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-05-01,2018,2,5,,18,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-06-01,2018,2,6,,22,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-07-01,2018,3,7,,26,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-08-01,2018,3,8,,31,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2018-09-01,2018,3,9,,35,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-05-01,2020,2,5,,18,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-06-01,2020,2,6,,23,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-07-01,2020,3,7,,27,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-08-01,2020,3,8,,31,3.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-09-01,2020,3,9,,36,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-10-01,2020,4,10,,40,5.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-11-01,2020,4,11,,44,5.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2020-12-01,2020,4,12,,49,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-01-01,2021,1,1,,53,1.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-02-01,2021,1,2,,5,3.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-03-01,2021,1,3,,9,4.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-04-01,2021,2,4,,13,2.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-05-01,2021,2,5,,17,9.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-06-01,2021,2,6,,22,42.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-08-01,2021,3,8,,30,19.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-09-01,2021,3,9,,35,12.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-10-01,2021,4,10,,39,11.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-11-01,2021,4,11,,44,5.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2021-12-01,2021,4,12,,48,27.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-01-01,2022,1,1,,52,200.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-02-01,2022,1,2,,5,73.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-03-01,2022,1,3,,9,26.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-04-01,2022,2,4,,13,8.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-05-01,2022,2,5,,17,20.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-06-01,2022,2,6,,22,20.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-07-01,2022,3,7,,26,17.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-08-01,2022,3,8,,31,57.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-09-01,2022,3,9,,35,40.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-10-01,2022,4,10,,39,73.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-11-01,2022,4,11,,44,64.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2022-12-01,2022,4,12,,48,80.0,10.0,off_target,,
global,2,Number of Articles,5,Knowledge,2023-01-01,2023,1,1,,52,35.0,10.0,off_target,,
